Industry_code_NZSIOC,Value
99999,541042
99999,473662
99999,53770
99999,13610
99999,488612
99999,36036
99999,5934
99999,15873
99999,79533
99999,263
99999,1378
99999,334094
99999,15765
99999,50004
99999,50442
99999,52868
99999,1660278
99999,488032
99999,375804
99999,796443
99999,1660278
99999,519935
99999,631136
99999,509207
99999,346000
99999,33800
99999,77
99999,69
99999,10
99999,3
99999,31
AA111,3196
AA111,3072
AA111,47
AA111,77
AA111,2921
AA111,200
AA111,31
AA111,162
AA111,565
AA111,0
AA111,1941
AA111,20
AA111,292
AA111,292
AA111,276
AA111,9656
AA111,1704
AA111,6682
AA111,1269
AA111,9656
AA111,3925
AA111,2457
AA111,3274
AA111,144200
AA111,12400
AA111,69
AA111,57
AA111,7
AA111,3
AA111,41
AA11,3196
AA11,3072
AA11,47
AA11,77
AA11,2921
AA11,200
AA11,31
AA11,162
AA11,565
AA11,0
AA11,1941
AA11,20
AA11,292
AA11,292
AA11,276
AA11,9656
AA11,1704
AA11,6682
AA11,1269
AA11,9656
AA11,3925
AA11,2457
AA11,3274
AA11,144200
AA11,12400
AA11,69
AA11,57
AA11,7
AA11,3
AA11,41
AA121,9100
AA121,8494
AA121,C
AA121,C
AA121,8146
AA121,667
AA121,165
AA121,444
AA121,780
AA121,0
AA121,6049
AA121,42
AA121,5238
AA121,4958
AA121,674
AA121,47004
AA121,8846
AA121,29719
AA121,8438
AA121,47004
AA121,27264
AA121,6940
AA121,12800
AA121,442200
AA121,32800
AA121,127
AA121,56
AA121,2
AA121,1
AA121,58
AA12,9100
AA12,8494
AA12,C
AA12,C
AA12,8146
AA12,667
AA12,165
AA12,444
AA12,780
AA12,0
AA12,6049
AA12,42
AA12,5238
AA12,4958
AA12,674
AA12,47004
AA12,8846
AA12,29719
AA12,8438
AA12,47004
AA12,27264
AA12,6940
AA12,12800
AA12,442200
AA12,32800
AA12,127
AA12,56
AA12,2
AA12,1
AA12,58
AA131,12261
AA131,11607
AA131,239
AA131,415
AA131,10914
AA131,1632
AA131,150
AA131,574
AA131,1229
AA131,0
AA131,7293
AA131,37
AA131,7163
AA131,7025
AA131,1208
AA131,58844
AA131,10369
AA131,34113
AA131,14363
AA131,58844
AA131,23319
AA131,7919
AA131,27606
AA131,504200
AA131,49700
AA131,131
AA131,42
AA131,5
AA131,2
AA131,40
AA13,12261
AA13,11607
AA13,239
AA13,415
AA13,10914
AA13,1632
AA13,150
AA13,574
AA13,1229
AA13,0
AA13,7293
AA13,37
AA13,7163
AA13,7025
AA13,1208
AA13,58844
AA13,10369
AA13,34113
AA13,14363
AA13,58844
AA13,23319
AA13,7919
AA13,27606
AA13,504200
AA13,49700
AA13,131
AA13,42
AA13,5
AA13,2
AA13,40
AA141,1490
AA141,1415
AA141,26
AA141,49
AA141,1418
AA141,87
AA141,13
AA141,71
AA141,176
AA141,0
AA141,1067
AA141,5
AA141,511
AA141,519
AA141,81
AA141,4988
AA141,1213
AA141,2944
AA141,830
AA141,4988
AA141,2225
AA141,1097
AA141,1666
AA141,336300
AA141,18300
AA141,111
AA141,63
AA141,4
AA141,2
AA141,45
AA14,1490
AA14,1415
AA14,26
AA14,49
AA14,1418
AA14,87
AA14,13
AA14,71
AA14,176
AA14,0
AA14,1067
AA14,5
AA14,511
AA14,519
AA14,81
AA14,4988
AA14,1213
AA14,2944
AA14,830
AA14,4988
AA14,2225
AA14,1097
AA14,1666
AA14,336300
AA14,18300
AA14,111
AA14,63
AA14,4
AA14,2
AA14,45
AA211,4145
AA211,3445
AA211,C
AA211,C
AA211,C
AA211,3364
AA211,223
AA211,22
AA211,107
AA211,277
AA211,0
AA211,2431
AA211,305
AA211,114
AA211,125
AA211,791
AA211,13674
AA211,1144
AA211,3278
AA211,9252
AA211,13674
AA211,7303
AA211,2545
AA211,3826
AA211,878200
AA211,167600
AA211,45
AA211,40
AA211,11
AA211,6
AA211,53
AA21,4145
AA21,3445
AA21,C
AA21,C
AA21,C
AA21,3364
AA21,223
AA21,22
AA21,107
AA21,277
AA21,0
AA21,2431
AA21,305
AA21,114
AA21,125
AA21,791
AA21,13674
AA21,1144
AA21,3278
AA21,9252
AA21,13674
AA21,7303
AA21,2545
AA21,3826
AA21,878200
AA21,167600
AA21,45
AA21,40
AA21,11
AA21,6
AA21,53
AA31,1322
AA31,1273
AA31,12
AA31,37
AA31,1219
AA31,26
AA31,C
AA31,43
AA31,144
AA31,0
AA31,947
AA31,C
AA31,109
AA31,91
AA31,85
AA31,1686
AA31,451
AA31,446
AA31,789
AA31,1686
AA31,592
AA31,375
AA31,719
AA31,611600
AA31,39400
AA31,120
AA31,96
AA31,14
AA31,5
AA31,35
AA32,2962
AA32,2894
AA32,16
AA32,C
AA32,C
AA32,2685
AA32,67
AA32,C
AA32,162
AA32,857
AA32,0
AA32,1564
AA32,C
AA32,137
AA32,148
AA32,288
AA32,3535
AA32,1012
AA32,1913
AA32,611
AA32,3535
AA32,1394
AA32,1000
AA32,1141
AA32,132900
AA32,12900
AA32,101
AA32,86
AA32,21
AA32,8
AA32,39
AA,34476
AA,32201
AA,C
AA,9
AA,C
AA,30668
AA,2901
AA,414
AA,1562
AA,4028
AA,0
AA,21293
AA,470
AA,13563
AA,13158
AA,3403
AA,139387
AA,24740
AA,79096
AA,35552
AA,139387
AA,66021
AA,22334
AA,51033
AA,342500
AA,33800
AA,111
AA,52
AA,5
AA,2
AA,47
BB,8065
BB,6772
BB,C
BB,0
BB,C
BB,6162
BB,195
BB,36
BB,922
BB,749
BB,C
BB,3461
BB,799
BB,321
BB,337
BB,1919
BB,31952
BB,20433
BB,8597
BB,1279
BB,68
BB,2923
BB,31952
BB,6885
BB,20361
BB,4706
BB,1343400
BB,319600
BB,100
BB,99
BB,28
BB,6
BB,22
CC151,5157
CC151,261
CC151,4820
CC151,31
CC151,0
CC151,44
CC151,5186
CC151,90
CC151,1053
CC151,172
CC151,501
CC151,4
CC151,C
CC151,2752
CC151,C
CC151,1144
CC151,1283
CC151,110
CC151,7039
CC151,2479
CC151,2872
CC151,451
CC151,160
CC151,1689
CC151,7039
CC151,3468
CC151,1580
CC151,1992
CC151,590200
CC151,12600
CC151,157
CC151,76
CC151,C
CC151,3
CC151,2
CC151,49
CC15,5157
CC15,261
CC15,4820
CC15,31
CC15,0
CC15,44
CC15,5186
CC15,90
CC15,1053
CC15,172
CC15,501
CC15,4
