Year,Industry_code_NZSIOC,Value
2017,99999,644159
2017,99999,567080
2017,99999,59317
2017,99999,17762
2017,99999,560665
2017,99999,33474
2017,99999,6890
2017,99999,18730
2017,99999,99874
2017,99999,226
2017,99999,1867
2017,99999,391041
2017,99999,8789
2017,99999,56188
2017,99999,59721
2017,99999,87027
2017,99999,1968716
2017,99999,565618
2017,99999,458928
2017,99999,944170
2017,99999,1968717
2017,99999,620922
2017,99999,750792
2017,99999,597003
2017,99999,363500
2017,99999,49100
2017,99999,75
2017,99999,67
2017,99999,14
2017,99999,4
2017,99999,32
2017,AA111,4228
2017,AA111,3999
2017,AA111,72
2017,AA111,158
2017,AA111,3444
2017,AA111,179
2017,AA111,34
2017,AA111,184
2017,AA111,715
2017,AA111,0
2017,AA111,2320
2017,AA111,12
2017,AA111,303
2017,AA111,312
2017,AA111,794
2017,AA111,12214
2017,AA111,2182
2017,AA111,8073
2017,AA111,1959
2017,AA111,12214
2017,AA111,5648
2017,AA111,3030
2017,AA111,3536
2017,AA111,169200
2017,AA111,31800
2017,AA111,72
2017,AA111,62
2017,AA111,14
2017,AA111,6
2017,AA111,46
2017,AA11,4228
2017,AA11,3999
2017,AA11,72
2017,AA11,158
2017,AA11,3444
2017,AA11,179
2017,AA11,34
2017,AA11,184
2017,AA11,715
2017,AA11,0
2017,AA11,2320
2017,AA11,12
2017,AA11,303
2017,AA11,312
2017,AA11,794
2017,AA11,12214
2017,AA11,2182
2017,AA11,8073
2017,AA11,1959
2017,AA11,12214
2017,AA11,5648
2017,AA11,3030
2017,AA11,3536
2017,AA11,169200
2017,AA11,31800
2017,AA11,72
2017,AA11,62
2017,AA11,14
2017,AA11,6
2017,AA11,46
2017,AA121,10093
2017,AA121,9429
2017,AA121,138
2017,AA121,526
2017,AA121,9102
2017,AA121,673
2017,AA121,180
2017,AA121,505
2017,AA121,916
2017,AA121,0
2017,AA121,6796
2017,AA121,33
2017,AA121,5590
2017,AA121,5868
2017,AA121,1268
2017,AA121,53905
2017,AA121,11228
2017,AA121,34244
2017,AA121,8433
2017,AA121,53905
2017,AA121,30241
2017,AA121,9009
2017,AA121,14655
2017,AA121,482900
2017,AA121,60700
2017,AA121,125
2017,AA121,59
2017,AA121,4
2017,AA121,2
2017,AA121,56
2017,AA12,10093
2017,AA12,9429
2017,AA12,138
2017,AA12,526
2017,AA12,9102
2017,AA12,673
2017,AA12,180
2017,AA12,505
2017,AA12,916
2017,AA12,0
2017,AA12,6796
2017,AA12,33
2017,AA12,5590
2017,AA12,5868
2017,AA12,1268
2017,AA12,53905
2017,AA12,11228
2017,AA12,34244
2017,AA12,8433
2017,AA12,53905
2017,AA12,30241
2017,AA12,9009
2017,AA12,14655
2017,AA12,482900
2017,AA12,60700
2017,AA12,125
2017,AA12,59
2017,AA12,4
2017,AA12,2
2017,AA12,56
2017,AA131,12817
2017,AA131,12307
2017,AA131,202
2017,AA131,308
2017,AA131,11220
2017,AA131,1635
2017,AA131,177
2017,AA131,638
2017,AA131,1384
2017,AA131,0
2017,AA131,7343
2017,AA131,43
2017,AA131,7125
2017,AA131,7193
2017,AA131,1665
2017,AA131,67755
2017,AA131,12108
2017,AA131,41639
2017,AA131,14008
2017,AA131,67755
2017,AA131,24693
2017,AA131,10465
2017,AA131,32597
2017,AA131,502900
2017,AA131,65300
2017,AA131,116
2017,AA131,47
2017,AA131,7
2017,AA131,2
2017,AA131,36
2017,AA13,12817
2017,AA13,12307
2017,AA13,202
2017,AA13,308
2017,AA13,11220
2017,AA13,1635
2017,AA13,177
2017,AA13,638
2017,AA13,1384
2017,AA13,0
2017,AA13,7343
2017,AA13,43
2017,AA13,7125
2017,AA13,7193
2017,AA13,1665
2017,AA13,67755
2017,AA13,12108
2017,AA13,41639
2017,AA13,14008
2017,AA13,67755
2017,AA13,24693
2017,AA13,10465
2017,AA13,32597
2017,AA13,502900
2017,AA13,65300
2017,AA13,116
2017,AA13,47
2017,AA13,7
2017,AA13,2
2017,AA13,36
2017,AA141,2099
2017,AA141,2010
2017,AA141,24
2017,AA141,65
2017,AA141,1842
2017,AA141,94
2017,AA141,15
2017,AA141,97
2017,AA141,258
2017,AA141,0
2017,AA141,1371
2017,AA141,8
2017,AA141,594
2017,AA141,628
2017,AA141,290
2017,AA141,6381
2017,AA141,1672
2017,AA141,3750
2017,AA141,958
2017,AA141,6381
2017,AA141,2723
2017,AA141,1638
2017,AA141,2020
2017,AA141,361100
2017,AA141,49900
2017,AA141,102
2017,AA141,64
2017,AA141,11
2017,AA141,5
2017,AA141,43
2017,AA14,2099
2017,AA14,2010
2017,AA14,24
2017,AA14,65
2017,AA14,1842
2017,AA14,94
2017,AA14,15
2017,AA14,97
2017,AA14,258
2017,AA14,0
